Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7
Common Cold,cough,runny_nose,sneezing,sore_throat,mild_fever,headache,watery_eyes
Influenza,high_fever,body_pain,chills,cough,fatigue,headache,sore_throat
Viral Fever,fever,body_pain,fatigue,headache,chills,loss_of_appetite,weakness
Fungal Infection,itching,skin_rash,red_spots,scaly_skin,burning_skin,skin_peeling,
Allergy,sneezing,runny_nose,itchy_eyes,skin_rash,cough,watery_eyes,
Migraine,headache,nausea,vomiting,sensitivity_to_light,dizziness,blurred_vision,
Food Poisoning,vomiting,diarrhea,stomach_pain,nausea,fever,weakness,dehydration
Gastritis,stomach_pain,acidity,nausea,vomiting,loss_of_appetite,bloating,
Dengue,high_fever,severe_headache,joint_pain,skin_rash,vomiting,fatigue,eye_pain
Malaria,high_fever,chills,sweating,headache,nausea,body_pain,weakness
Typhoid,high_fever,stomach_pain,headache,weakness,loss_of_appetite,diarrhea,constipation
Bronchitis,cough,chest_discomfort,fatigue,mild_fever,breathing_problem,wheezing,
Asthma,breathing_problem,wheezing,cough,chest_tightness,shortness_of_breath,night_cough,
Sinusitis,headache,facial_pain,runny_nose,blocked_nose,cough,sore_throat,
Urinary Tract Infection,burning_urination,frequent_urination,lower_abdominal_pain,fever,cloudy_urine,back_pain,
Chickenpox,fever,skin_rash,itching,fatigue,loss_of_appetite,blisters,body_pain
Acne,pimples,skin_rash,redness,oily_skin,blackheads,whiteheads,
Conjunctivitis,red_eyes,itchy_eyes,watery_eyes,eye_pain,eye_discharge,blurred_vision,
COVID Like Illness,fever,cough,sore_throat,loss_of_smell,fatigue,breathing_problem,body_pain
Anemia,fatigue,dizziness,weakness,pale_skin,shortness_of_breath,headache,
Pneumonia,high_fever,cough,chest_pain,breathing_problem,fatigue,chills,
Tonsillitis,sore_throat,fever,difficulty_swallowing,headache,bad_breath,swollen_tonsils,
Ear Infection,ear_pain,fever,hearing_loss,ear_discharge,headache,dizziness,
Diabetes,frequent_urination,increased_thirst,fatigue,blurred_vision,weight_loss,slow_healing,
Hypertension,headache,dizziness,chest_pain,shortness_of_breath,blurred_vision,fatigue,
